01:28:45.561 | Info | '/transaction/gettourbyuserid' | 
01:29:06.246 | Info | '/transaction/getlastannouncement' | 
01:30:24.375 | Info | '/api/user/login' | 
01:30:25.386 | Info | '/transaction/gettourbyuserid' | 
01:30:27.500 | Info | '/transaction/getlastannouncement' | 
01:30:38.328 | Info | '/transaction/createannouncement' | 
01:30:38.514 | Info | '/transaction/gettourbyuserid' | 
01:30:40.892 | Info | '/transaction/getlastannouncement' | 
01:32:11.155 | Info | '/transaction/getlastannouncement' | 
01:34:33.298 | Info | '/transaction/getlastannouncement' | 
01:34:34.625 | Info | '/transaction/getannouncement' | 
01:34:38.135 | Info | '/transaction/getannouncement' | 
01:38:03.612 | Info | '/transaction/createannouncement' | 
01:38:03.715 | Info | '/transaction/gettourbyuserid' | 
01:48:50.483 | Info | '/transaction/getlastannouncement' | 
01:48:54.540 | Info | '/transaction/createannouncement' | 
01:48:54.634 | Info | '/transaction/gettourbyuserid' | 
01:49:03.550 | Info | '/transaction/getlastannouncement' | 
01:49:07.811 | Info | '/transaction/createannouncement' | 
01:49:07.879 | Info | '/transaction/gettourbyuserid' | 
01:55:09.707 | Info | '/transaction/getlastannouncement' | 
01:55:13.855 | Info | '/transaction/createannouncement' | 
01:55:13.926 | Info | '/transaction/gettourbyuserid' | 
01:55:29.448 | Info | '/transaction/getlastannouncement' | 
01:55:40.837 | Info | '/transaction/createannouncement' | 
01:55:41.433 | Info | '/transaction/gettourbyuserid' | 
01:55:54.663 | Info | '/transaction/createannouncement' | 
01:55:55.322 | Info | '/transaction/gettourbyuserid' | 
02:00:15.192 | Info | '/transaction/getlastannouncement' | 
02:03:39.063 | Info | '/api/user/login' | 
02:03:40.161 | Info | '/transaction/gettourbyuserid' | 
02:03:41.830 | Info | '/transaction/getlastannouncement' | 
02:05:34.954 | Info | '/transaction/getannouncement' | 
02:05:59.077 | Info | '/transaction/getlastannouncement' | 
02:07:53.029 | Info | '/transaction/getlastannouncement' | 
02:08:21.014 | Info | '/api/user/login' | 
02:08:21.913 | Info | '/transaction/gettourbyuserid' | 
02:08:23.735 | Info | '/transaction/getlastannouncement' | 
02:10:21.691 | Info | '/api/user/login' | 
02:10:23.214 | Info | '/transaction/gettourbyuserid' | 
02:10:25.116 | Info | '/transaction/getlastannouncement' | 
02:11:03.975 | Info | '/api/user/login' | 
02:11:04.913 | Info | '/transaction/gettourbyuserid' | 
02:11:06.482 | Info | '/transaction/getlastannouncement' | 
02:12:51.903 | Info | '/api/user/login' | 
02:12:52.993 | Info | '/transaction/gettourbyuserid' | 
02:12:54.566 | Info | '/transaction/getlastannouncement' | 
02:14:14.928 | Info | '/api/user/login' | 
02:14:15.843 | Info | '/transaction/gettourbyuserid' | 
02:14:17.976 | Info | '/transaction/getlastannouncement' | 
02:14:57.921 | Info | '/api/user/login' | 
02:14:58.833 | Info | '/transaction/gettourbyuserid' | 
02:15:01.373 | Info | '/transaction/getlastannouncement' | 
02:15:36.652 | Info | '/transaction/createannouncement' | 
02:15:37.060 | Info | '/transaction/gettourbyuserid' | 
